LGU,Category,Score,Population,Population Weight (50%),Revenue,Revenue Weight (50%),Total Percentage,Provincial Score
Agdangan,Fifth Class Municipality,33.3311,12764,0.003,101754484.83,0.004,0.008,0.2533
Alabat,Fifth Class Municipality,33.5795,15936,0.004,15320573.46,0.001,0.005,0.1612
Atimonan,First Class Municipality,35.2329,70698,0.018,352460694.92,0.015,0.033,1.1733
Buenavista (QN),Fourth Class Municipality,32.2751,31160,0.008,189065561.10,0.008,0.016,0.5229
Burdeos,Fourth Class Municipality,22.3840,24644,0.006,2355905.26,0.000,0.007,0.1455
Calauag,First Class Municipality,32.8071,71809,0.019,321745927.90,0.014,0.032,1.0597
Candelaria (QN),First Class Municipality,39.3266,137881,0.036,551658978.57,0.024,0.059,2.3242
Catanauan,First Class Municipality,33.4852,72752,0.019,343799557.00,0.015,0.034,1.1218
Dolores (QN),Fourth Class Municipality,32.8201,32514,0.008,170425149.01,0.007,0.016,0.5153
General Luna (QN),Fourth Class Municipality,34.1180,24804,0.006,157495411.33,0.007,0.013,0.4469
General Nakar,First Class Municipality,31.3747,34225,0.009,515045258.27,0.022,0.031,0.9663
Guinayangan,Third Class Municipality,32.6547,45155,0.012,240124167.15,0.010,0.022,0.7184
Gumaca,First Class Municipality,35.5530,73877,0.019,339622238.52,0.015,0.034,1.1946
Infanta (QN),First Class Municipality,36.0496,69079,0.018,375606846.91,0.016,0.034,1.2185
Jomalig,Fifth Class Municipality,21.5533,7417,0.002,92552576.24,0.004,0.006,0.1272
Lopez,First Class Municipality,36.6042,94657,0.025,446381605.09,0.019,0.044,1.5959
Lucban,Second Class Municipality,35.2748,51475,0.013,292098456.00,0.013,0.026,0.9101
Macalelon,Fourth Class Municipality,28.9964,28188,0.007,167852736.22,0.007,0.014,0.4204
Mauban,First Class Municipality,35.5231,71081,0.018,882511869.83,0.038,0.056,1.9928
Mulanay,First Class Municipality,35.2229,55576,0.014,324667899.65,0.014,0.028,0.9968
Padre Burgos (QN),Fourth Class Municipality,29.7873,22460,0.006,146595034.80,0.006,0.012,0.3604
Pagbilao,First Class Municipality,34.6268,78700,0.020,632512855.75,0.027,0.047,1.6378
Panukulan,Fourth Class Municipality,28.9388,16376,0.004,3970320.65,0.000,0.004,0.1273
Patnanungan,Fifth Class Municipality,19.9007,14606,0.004,133319024.68,0.006,0.010,0.1891
Perez,Fifth Class Municipality,31.2909,12767,0.003,109798274.32,0.005,0.008,0.2503
Pitogo (QN),Fourth Class Municipality,31.7593,22798,0.006,132484914.00,0.006,0.012,0.3684
Plaridel (QN),Fifth Class Municipality,34.0969,10129,0.003,93003125.58,0.004,0.007,0.2250
Polillo,Third Class Municipality,34.6822,31908,0.008,260169690.70,0.011,0.019,0.6694
Quezon (QN),Fifth Class Municipality,35.1755,15886,0.004,120208099.57,0.005,0.009,0.3236
Real,First Class Municipality,32.1632,38678,0.010,335258072.80,0.014,0.024,0.7816
Sampaloc,Fifth Class Municipality,41.4185,13907,0.004,129941359.22,0.006,0.009,0.3769
San Andres (QN),Fourth Class Municipality,29.0999,37454,0.010,210085429.61,0.009,0.019,0.5442
San Antonio (QN),Fourth Class Municipality,32.8500,35891,0.009,179037820.87,0.008,0.017,0.5552
San Francisco (QN),Second Class Municipality,27.7425,62097,0.016,306347904.35,0.013,0.029,0.8073
San Narciso (QN),Third Class Municipality,26.8546,48461,0.013,267603203.60,0.011,0.024,0.6418
Sariaya,First Class Municipality,38.1927,148980,0.039,647841347.77,0.028,0.066,2.5284
Tagkawayan,First Class Municipality,32.4277,54003,0.014,356457700.54,0.015,0.029,0.9469
Tayabas,Component City,32.9017,112658,0.029,1141193479.98,0.049,0.078,2.5598
Tiaong,First Class Municipality,32.8684,106265,0.028,445733433.73,0.019,0.047,1.5284
Unisan,Fourth Class Municipality,31.2918,25448,0.007,178884379.96,0.008,0.014,0.4443
T  O  T  A  L  S, ,1935164, ,11712991369.74, ,1.00,33.7312
